nazwazmiennej,etykieta
P_CZY_PRACA_DOSW_P1,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w pierwszym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_PRACA_NDOSW_P1,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w pierwszym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_PRACA_DOSW_P2,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w drugim roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_PRACA_NDOSW_P2,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w drugim roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_PRACA_DOSW_P3,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w trzecim roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_PRACA_NDOSW_P3,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w trzecim roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_PRACA_DOSW_P4,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w czwartym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_PRACA_NDOSW_P4,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w czwartym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_PRACA_DOSW_P5,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w piątym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_PRACA_NDOSW_P5,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w piątym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_STUD,"Procent absolwentów, którzy mieli doświadczenie pracy na umowę o pracę w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_NSTUD,"Procent absolwentów, którzy mieli doświadczenie pracy na umowę o pracę w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_ETAT,"Procent absolwentów, którzy mieli doświadczenie pracy na umowę o pracę po uzyskaniu dyplomu"
P_CZY_ETAT_STUD_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_NSTUD_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę"
P_CZY_ETAT_STUD_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_NSTUD_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę"
P_CZY_ETAT_STUD_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_NSTUD_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę"
P_CZY_ETAT_STUD_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_NSTUD_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę"
P_CZY_ETAT_STUD_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_NSTUD_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_ETAT_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę"
P_CZY_ETAT_DOSW,"Procent absolwentów, którzy mieli doświadczenie pracy na umowę o pracę po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_NDOSW,"Procent absolwentów, którzy mieli doświadczenie pracy na umowę o pracę po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_DOSW_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_NDOSW_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_DOSW_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_NDOSW_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_DOSW_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_NDOSW_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_DOSW_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_NDOSW_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_DOSW_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_ETAT_NDOSW_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie pracy na umowę o pracę wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
P_CZY_SAMOZ_STUD,"Procent absolwentów, którzy mieli doświadczenie samozatrudnienia w okresach, gdy studiowali po uzyskaniu dyplomu"
