id;avgInc;incY1;incY2;incY3;incY4;incY5;pass
809;0.00;0.00;0.00;0.00;0.00;0.00;0.00
810;3486.92;2551.80;3304.67;0.00;0.00;0.00;37.50
811;4493.31;2463.89;3476.06;3960.46;4695.07;5641.23;36.80
812;2711.04;1935.44;2524.67;0.00;0.00;0.00;25.00
813;3998.46;1609.66;2333.67;2791.60;3693.81;5322.99;82.90
814;3882.95;2494.55;3327.59;0.00;0.00;0.00;67.20
815;3620.97;346.33;747.44;2298.10;3539.67;5032.40;94.70
816;4546.95;3401.81;4917.88;0.00;0.00;0.00;30.80
817;6707.44;4153.05;5644.12;6005.12;7008.32;8309.17;90.10
818;2836.32;2111.49;3655.22;0.00;0.00;0.00;43.80
819;6431.28;2692.90;4885.41;4938.87;6735.74;7725.90;93.90
820;6256.70;5789.00;7076.41;0.00;0.00;0.00;16.70
821;7009.90;2493.46;7126.99;7292.21;7822.73;8514.75;42.50
822;5499.46;4019.10;5503.81;0.00;0.00;0.00;41.20
823;4182.69;1284.83;1687.93;2378.34;3581.20;5180.13;75.00
824;6355.66;5801.99;8592.93;0.00;0.00;0.00;52.20
825;2652.29;1460.08;1229.19;1871.21;2582.33;2924.30;42.90
827;3692.89;1244.07;2647.33;2424.48;4587.92;4488.58;66.70
828;4233.14;3699.19;4221.49;0.00;0.00;0.00;50.00
829;3580.91;1932.50;2672.41;3494.50;4198.71;5580.83;0.00
830;4133.88;2157.57;2940.73;3107.28;4131.35;5281.62;76.10
831;3475.48;1632.40;2853.53;3741.53;4646.23;4661.48;58.60
832;4273.58;2401.17;2802.70;4132.14;4574.79;5006.86;60.00
833;5488.51;4642.15;5814.53;0.00;0.00;0.00;51.70
834;2189.07;2142.82;2270.62;2181.87;2298.03;2518.27;0.00
835;3662.88;2384.63;2881.16;3580.57;4338.62;5215.64;0.00
836;3996.98;1152.17;1334.74;2688.79;3590.20;4613.94;79.20
837;5927.65;3995.69;4542.38;4857.14;7921.21;7666.37;94.40
838;3672.17;2365.54;3763.25;0.00;0.00;0.00;45.60
839;3937.74;1126.26;1198.71;3023.14;3930.54;4857.28;75.90
840;4715.83;1633.04;2466.81;3111.47;4663.04;5589.01;50.00
841;3903.71;1178.66;2042.53;2732.30;3733.20;4990.91;84.00
842;3259.14;1761.98;2191.65;2956.11;3214.61;4442.65;82.10
843;9467.53;5615.78;7717.54;8849.57;10690.40;14031.00;48.10
844;11397.99;6675.83;7996.43;9825.92;12464.65;15970.62;59.30
845;5328.09;2001.61;2496.62;4117.79;5471.27;6523.37;85.30
846;8462.25;6864.58;10084.35;0.00;0.00;0.00;24.30
847;4172.17;2518.06;2628.73;3779.05;3671.72;5077.96;63.30
848;4182.91;1747.70;2288.72;3123.80;4318.90;5595.94;81.70
849;4123.88;4149.85;3807.40;4266.81;4747.04;5647.89;72.70
850;4529.89;2099.92;2521.28;3357.61;4521.10;5678.81;81.60
852;4226.85;1829.62;2365.97;2918.58;4089.81;4951.82;65.70
854;3871.39;2556.28;3241.54;4191.51;3971.75;4867.39;47.80
855;3749.26;1960.53;2299.47;2855.31;4003.50;5166.44;62.00
857;3437.93;2075.97;2116.21;2147.85;4235.82;5431.25;30.00
858;3883.53;3172.55;3699.60;0.00;0.00;0.00;38.50
860;4841.50;4935.07;4868.69;0.00;0.00;0.00;12.50
861;4318.32;2045.16;3391.60;3111.13;4073.89;5109.16;68.80
862;5308.74;3458.35;4238.68;5437.20;0.00;0.00;52.40
863;7198.00;3871.38;4194.76;5621.23;7084.22;10012.83;69.80
864;2551.74;1350.66;1428.05;2343.06;2675.52;2891.57;57.10
865;10646.52;6034.74;7496.40;9511.01;12324.51;14311.66;76.50
867;4226.85;1829.62;2365.97;2918.58;4089.81;4951.82;65.70
